,Postcode,Borough,Neighbourhood,Neighbourhood Number,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree",Secondary (high) school diploma or equivalency certificate,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,      Certificate of Apprenticeship or Certificate of Qualification,"    College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,"    University certificate, diploma or degree at bachelor level or above",      Bachelor's degree,      University certificate or diploma above bachelor level,"      Degree in medicine, dentistry, veterinary medicine or optometry",      Earned doctorate,Total - Household total income groups in 2015 for private households - 100% data,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over","$200,000 and over",Latitude,Longitude
70,M3K,North York,Downsview East,26,29270,8590,8365,1065,965,5015,810,4485,3350,360,110,90,"13,115",200,180,400,680,655,755,775,710,685,"1,200","1,025",855,730,640,3015,355,43.743,-79.467
72,M4K,East Toronto,Riverdale,62,17295,2290,3915,365,285,3155,425,6860,4430,440,80,235,"9,175",210,270,455,445,375,375,330,320,295,530,500,415,400,390,3340,950,43.679,-79.345
78,M1L,Scarborough,Clairlea,120,21745,4215,6165,570,510,3930,570,5755,3825,305,140,130,"9,245",150,110,260,390,420,420,385,445,420,735,700,610,575,555,2785,340,43.719,-79.291
80,M1L,Scarborough,Oakridge,121,10755,2270,3020,265,210,1715,330,2950,1660,180,60,90,"5,285",145,290,410,330,330,350,335,310,250,435,350,250,210,180,635,50,43.697,-79.275
84,M4L,East Toronto,The Beaches West,65,11925,1960,2710,235,175,2005,245,4590,3045,290,40,145,"6,055",150,140,270,320,230,245,215,205,205,340,330,310,325,305,2115,470,43.662,-79.328
99,M5M,North York,Bedford Park,39,18560,1985,3815,310,215,2135,465,9625,5655,725,640,335,"8,605",140,85,150,230,215,230,215,225,240,440,395,390,360,275,4745,2915,43.73,-79.411
101,M6M,York,Del Ray,90,12000,1695,2510,300,195,1935,260,5110,3250,320,55,185,"6,035",130,110,195,220,225,210,235,220,235,440,420,370,330,335,2120,470,43.669,-79.369
102,M6M,York,Keelesdale,110,9425,3640,2675,280,250,1270,205,1105,835,110,20,25,"4,180",70,80,125,245,220,205,195,200,185,330,290,275,225,225,1015,90,43.686,-79.47
103,M6M,York,Mount Dennis,115,10865,2810,3385,375,305,1980,350,1650,1045,205,20,20,"5,175",110,125,255,285,290,310,295,240,280,490,425,315,320,275,860,50,43.686,-79.489
105,M9M,North York,Emery,22,12585,3635,3825,500,305,2110,250,1955,1370,135,55,35,"5,055",85,70,105,235,275,300,280,300,235,540,405,380,315,255,1055,95,43.739,-79.539
106,M9M,North York,Humberlea,23,8975,2210,2635,320,370,1595,255,1595,1220,135,15,20,"3,715",45,45,50,110,120,145,170,150,145,285,285,240,240,250,1355,190,43.721,-79.533
109,M2N,North York,Willowdale South,38,13650,1050,2740,145,150,1780,430,7355,4400,540,300,285,"6,595",330,130,160,230,230,215,235,210,185,430,390,335,330,300,2675,1095,43.752,-79.42
110,M3N,North York,Downsview Northwest,25,24425,9560,7190,790,600,3650,500,2110,1610,160,15,10,"9,920",90,155,280,655,590,640,655,535,560,925,720,630,550,470,1835,140,43.718,-79.512
111,M4N,Central Toronto,Lawrence Park,105,11275,870,1745,135,115,1135,265,7000,4140,415,215,365,"5,420",80,55,90,105,95,90,120,105,105,195,190,205,215,210,3405,2025,43.723,-79.388
113,M6N,York,The Junction North,90,12000,1695,2510,300,195,1935,260,5110,3250,320,55,185,"6,035",130,110,195,220,225,210,235,220,235,440,420,370,330,335,2120,470,43.668,-79.451
115,M9N,York,Weston,113,14605,3630,4180,540,545,2970,340,2395,1705,210,40,65,"7,595",150,265,465,455,490,440,405,375,370,615,510,425,310,295,1360,175,43.7,-79.516
116,M1P,Scarborough,Dorset Park,126,20130,3975,5985,545,480,3570,635,4945,3485,290,70,115,"8,775",135,140,250,390,470,470,470,525,465,855,730,625,545,455,1830,145,43.766,-79.281
